"Name_of_Tournament","Category","Draw","First_Rnd","Start_Date","Surface","week","final_date","s.date"
"Amsterdam",5,8,4,1997-08-01,"Clay",31,1997-08-03,1997-08-01
"Cincinatti",2,16,8,1997-08-07,"Hard",32,1997-08-10,1997-08-07
"San Marino",5,8,4,1997-08-08,"Clay",32,1997-08-10,1997-08-08
"Indianapolis",3,12,8,1997-08-14,"Hard",33,1997-08-17,1997-08-14
"New Haven",3,12,8,1997-08-14,"Hard",33,1997-08-17,1997-08-14
"Umag",5,8,4,1997-08-15,"Clay",33,1997-08-17,1997-08-15
"Long Island",5,8,4,1997-08-22,"Hard",34,1997-08-24,1997-08-22
"Boston",5,8,4,1997-08-22,"Hard",34,1997-08-24,1997-08-22
"US Open",1,32,16,1997-08-27,"Hard",35,1997-08-31,1997-08-27
"Bogota",5,8,4,1997-09-12,"Clay",37,1997-09-14,1997-09-12
"Bucharest",5,8,4,1997-09-12,"Clay",37,1997-09-14,1997-09-12
"Tashkent",5,8,4,1997-09-12,"Hard",37,1997-09-14,1997-09-12
"Bournemouth",5,8,4,1997-09-19,"Clay",38,1997-09-21,1997-09-19
"Basel",4,8,4,1997-09-26,"Hard",39,1997-09-28,1997-09-26
"Palermo",5,8,4,1997-09-26,"Clay",39,1997-09-28,1997-09-26
"Singapore",3,12,8,1997-10-02,"Hard",40,1997-10-05,1997-10-02
"Lyon",5,8,4,1997-10-03,"Hard",40,1997-10-05,1997-10-03
"Marbella",5,8,4,1997-10-03,"Clay",40,1997-10-05,1997-10-03
"Vienna",3,12,8,1997-10-09,"Hard",41,1997-10-12,1997-10-09
"Beijing",5,8,4,1997-10-10,"Hard",41,1997-10-12,1997-10-10
"Rio de Janeiro",5,8,4,1997-10-10,"Clay",41,1997-10-12,1997-10-10
"Ostrava",5,8,4,1997-10-17,"Hard",42,1997-10-19,1997-10-17
"Tel Aviv",5,8,4,1997-10-17,"Hard",42,1997-10-19,1997-10-17
"Toulouse",5,8,4,1997-10-17,"Hard",42,1997-10-19,1997-10-17
"Stuttgart Masters",2,16,8,1997-10-23,"Hard",43,1997-10-26,1997-10-23
"Paris Masters",2,16,8,1997-10-30,"Hard",44,1997-11-02,1997-10-30
"Moscow",3,12,8,1997-11-06,"Hard",45,1997-11-09,1997-11-06
"Santiago",5,8,4,1997-11-07,"Clay",45,1997-11-09,1997-11-07
"Stockholm",4,8,4,1997-11-07,"Hard",45,1997-11-09,1997-11-07
"ATP World Finals",1.1,8,4,1997-11-21,"Hard",47,1997-11-23,1997-11-21
